Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1974-03-01,-0.288872996,-0.49205214,-0.49205214,-0.49205214,0.812716576,0.50794786,0,-2.222182489
1974-04-01,0.293710594,0.496889739,-0.503110261,-0.498272663,-0.807878978,-0.503110261,0,0.239114085
1974-05-01,1.177511329,0.567973897,0.567973897,1.526410362,1.567973897,0.567973897,0,3.98790864
1974-06-01,-2.182348928,-1.572811496,-1.572811496,-1.536085559,-1.572811496,-0.572811496,0,-7.004840235
1974-07-01,1,1,1,0,0,0,0,3
1974-08-01,0,0,0,1,1,1,0,-0.5
1974-09-01,0,-1,-1,-1,-1,-1,0,-1.5
1974-10-01,0,1,1,1,0,0,0,3
1974-11-01,0,0,0,0,1,1,0,-1.5
1974-12-01,0,0,-2,-2,-1,-1,0,-2.5
1975-01-01,0,0,0,1,1,0,0,2
1975-02-01,0,0,0,0,0,0,-0.25,0
1975-03-01,-2.288872996,-2.49205214,-2.49205214,-2.49205214,-3.187283424,-1.49205214,0,-9.222182489
1975-04-01,2.293710594,2.496889739,2.496889739,1.501727337,2.192121022,1.496889739,0,7.239114085
1975-05-01,-0.822488671,-0.432026103,-0.432026103,-0.473589638,0.567973897,0.567973897,0,-3.01209136
1975-06-01,0.817651072,-0.572811496,-0.572811496,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1975-07-01,0,1,1,1,0,0,0,3
1975-08-01,-1,-1,-1,-1,0,0,0,-4
1975-09-01,1,1,0,0,0,0,0,2
1975-10-01,0,0,1,1,1,0,0,3
1975-11-01,-1,-1,-1,-1,-1,0,0,-5
1975-12-01,1,1,1,-1,-1,0,0,1
1976-01-01,0,0,0,0,1,1,0,-1.5
1976-02-01,-1,-1,-1,-1,-1,-1,0.75,-2.5
1976-03-01,1.711127004,1.50794786,1.50794786,0.50794786,0.812716576,0.50794786,0,4.777817511
1976-04-01,-0.706289406,-0.503110261,-0.503110261,0.501727337,0.192121022,-0.503110261,0,0.239114085
1976-05-01,1.177511329,-0.432026103,-0.432026103,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1976-06-01,-1.182348928,0.427188504,0.427188504,-0.536085559,-0.572811496,-0.572811496,0,-0.004840235
1976-07-01,0,0,0,1,1,1,0,-0.5
1976-08-01,0,0,-1,-1,-1,-1,0,-0.5
1976-09-01,0,0,1,1,0,0,0,2
1976-10-01,-1,-1,-1,-1,0,0,0,-4
1976-11-01,1,1,0,0,0,0,0,2
1976-12-01,1,1,2,2,2,0,0,8
1977-01-01,0,-1,-1,-1,-1,-1,0,-1.5
1977-02-01,0,0,0,0,0,0,-0.25,0
1977-03-01,0.711127004,1.50794786,1.50794786,1.50794786,0.812716576,0.50794786,0,4.777817511
1977-04-01,-0.706289406,-0.503110261,-0.503110261,-0.498272663,0.192121022,0.496889739,0,-3.260885915
1977-05-01,0.177511329,0.567973897,-0.432026103,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1977-06-01,0.817651072,0.427188504,1.427188504,1.463914441,0.427188504,0.427188504,0,3.495159765
1977-07-01,-1,-1,-1,-1,0,0,0,-4
1977-08-01,1,1,1,0,0,0,0,3
1977-09-01,0,0,0,1,1,0,0,2
1977-10-01,0,-1,-1,-1,-1,0,0,-4
1977-11-01,0,1,1,0,0,0,0,2
1977-12-01,0,1,1,2,2,2,0,1
1978-01-01,1,1,0,0,0,0,0,2
1978-02-01,0,0,0,0,0,0,-0.25,0
1978-03-01,-2.288872996,-1.49205214,-0.49205214,-0.49205214,-1.187283424,-1.49205214,0,-2.222182489
1978-04-01,1.293710594,0.496889739,0.496889739,0.501727337,1.192121022,1.496889739,0,0.239114085
1978-05-01,-0.822488671,0.567973897,0.567973897,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1978-06-01,0.817651072,0.427188504,0.427188504,1.463914441,1.427188504,0.427188504,0,3.495159765
1978-07-01,0,-1,-1,-1,-1,0,0,-4
1978-08-01,0,1,1,1,0,0,0,3
1978-09-01,0,0,0,0,1,1,0,-1.5
1978-10-01,0,0,-1,-1,-1,-1,0,-0.5
1978-11-01,0,0,1,1,0,0,0,2
1978-12-01,-2,-2,-1,-1,0,0,0,-6
1979-01-01,0,1,1,0,0,0,0,2
1979-02-01,0,0,0,0,0,0,-0.25,0
1979-03-01,0.711127004,0.50794786,0.50794786,1.50794786,1.812716576,1.50794786,0,1.277817511
